ra,dec,mag
0.0365971982198309,0.5077238192275191,2.07
0.04002572300244856,1.0323584128302916,2.28
0.0410595687848674,-0.7984432080124594,3.88
0.05775242134971677,0.2650037424926409,2.83
0.08477037996997679,-0.15400647438587056,3.56
0.11202814682946084,-1.3483409712989518,2.82
0.11433198144209335,-0.7623568327581022,3.93
0.11468279262174422,-0.7383786617361632,2.4
0.1613176411691823,0.9406785186977645,3.69
0.1715995503256061,0.5386264793369905,3.27
0.1767449554934106,0.9867625762398582,2.24
0.19019463724220406,-0.3139254785056747,2.04
0.214219967060532,1.009065370806223,3.46
0.24743785878265148,1.0597070240773419,2.15
0.24763211392839846,0.6719403301112162,3.86
0.28834767831769775,-0.8153901456098142,3.32
0.2983837578489782,-0.9642204097665824,3.94
0.2992796353540269,-0.1777140321072879,3.46
0.30426167770384466,0.6216960184976064,2.07
0.36662124468005086,-0.1428247781868736,3.6
0.37442967322054826,1.0513040142205676,2.66
0.3855674045756875,-0.7560458094493533,3.41
0.39815786073372417,-0.8564802227500063,3.93
0.39917207156205814,0.2678351377782738,3.62
0.42635496379663157,-0.998969862813912,0.45
0.4275720691505098,0.8487224262111094,3.59
0.45408554035048093,-0.2781615004707459,3.49
0.4863384395291727,-0.18038044141872972,3.74
0.49341225898750574,0.5162479549343818,3.42
0.4953689476119166,0.336741242792493,3.88
0.4991425239876536,1.1112528975273341,3.35
0.5002117126874253,0.3631687216202183,2.64
0.5059440720826754,-0.9007451585193315,3.69
0.5182190599784141,-1.0745967595386634,2.86
0.5236207667468741,-0.3678775501289289,3.99
0.5325305853118425,0.04823669428162596,3.82
0.5385915029387806,1.2639900288548143,3.95
0.5406115470150388,0.7387930727137568,2.1
0.5548982014066263,0.40949653184564555,2.01
0.565240062622856,0.6106435290231345,3.0
0.595633924348786,-0.8990568840805849,3.56
0.6622870012848983,1.5579526059091031,1.97
0.7125336341864135,0.056475678095297875,3.47
0.7416941589964217,0.47578560291296185,3.61
0.7448048593222512,0.9755604422353205,3.77
0.7603426529881308,0.9208789800643652,3.93
0.7698101042491113,-0.15530191011657832,3.89
0.7778120025371924,-0.703449230336368,2.88
0.7953444457387135,0.07137932383075778,2.54
0.8063269300568878,0.9338635490207947,2.91
0.8079835965828809,0.6778906636767481,3.32
0.8210416264475269,0.7148109048878305,2.09
0.826830010911766,0.7829118371582272,3.79
0.8380850283926393,-0.5059293764103736,3.8
0.87055574466198,-0.37974636500114356,3.7
0.8915258756246919,0.8702417599295462,1.79
0.8936663474193378,0.15758350923454043,3.61
0.903946162180659,0.1698673110430017,3.73
0.9290862337922359,-0.1650778134162639,3.72
0.9726936342191645,0.8340501064147088,3.01
0.9741047329194019,-0.17040338892275175,3.52
0.9782377598545872,-1.1310938353705908,3.84
0.9787757575965145,0.5635362373004741,3.84
0.9812049941159027,0.42085715919955696,3.72
0.9825938398681773,0.7431358707717391,3.77
0.9853550380112949,0.4252974338962632,3.87
0.9915115124147796,-1.2957143201629546,3.26
0.9925888168955731,0.42071400729430836,2.85
0.9999095131766008,0.41981128809859186,3.62
1.021593571069841,0.5564744082541023,2.84
1.0378329870950223,0.6983099861808231,2.9
1.0385992739031102,-0.23576806380504178,2.97
1.0426815117570623,0.6246713685399436,3.98
1.0501658326554646,0.21799767986659618,3.41
1.0609697697911598,0.10453309215615898,3.91
1.0849901254211196,0.8327404462505973,3.96
1.1082918417315706,-0.738175976650129,3.85
1.1101351712210645,-1.0903745185233995,3.33
1.1252758152156528,-0.5898924543348404,3.55
1.1335622894382713,0.27275380722295167,3.65
1.147269581784659,0.30617462837720055,3.77
1.1520777893409784,-0.593705963843863,3.97
1.171878986037167,0.278592614249281,3.84
1.1720609366116874,0.3347616729015885,3.53
1.1722604277451905,0.27699916354879517,3.4
1.1955325607248202,-0.9607160504279657,3.3
1.2023168300602474,-0.5334134775672563,3.81
1.2039308232860293,0.28814165965279237,0.87
1.2056691712210155,-0.058511447588116584,3.93
1.2137909736287082,-0.2496522452711193,3.86
1.2646661868603295,0.12149718634006078,3.19
1.270626049923577,0.09782751971670424,3.68
1.283914725048874,0.042597762361235046,3.71
1.295879218870683,0.578857470512766,2.69
1.3175878859063763,0.7648610137155711,3.03
1.3198095155112397,0.71690859866251,3.69
1.33282539567445,-0.3904481654690121,3.19
1.3374231165229786,0.7196773366279963,3.18
1.3432478911021222,-0.08877522992489549,2.78
1.3654220374493222,-0.2828387734265804,3.29
1.3724304070607054,-0.14314562206326772,0.18
1.3818164387120806,0.8028163922527191,0.08
1.3858198749503052,-0.11945747240313256,3.59
1.4157977374490225,-0.04183809035101199,3.35
1.4186518743748087,0.11082320642046897,1.64
1.4237169071305589,0.49929419309965184,1.65
1.4322405715985236,-0.36232059632350416,2.81
1.4451873367233552,-0.6190773439412066,3.86
1.4486525134202646,-0.005220140166374881,2.25
1.4518095522377346,-0.3110576232919677,2.58
1.4557148137055342,-1.0906531952450655,3.76
1.4623152998707263,0.17338376551333484,3.39
1.4636028292599224,-0.10314723091690539,2.75
1.4670083156964138,-0.02097746134557025,1.69
1.4732532782929748,0.36900709231423456,2.97
1.4780588678554158,-0.04537976482903645,3.77
1.4819984250430178,-0.59470537428014,2.65
1.4868406665197507,-0.03390427735705129,1.74
